,Total_Sales,Year,cleaned_name,curb_weight_lbs,speed_sec,horsepower_hp,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,length_in,vol_cubft,mpg_comb,drivetrain,fuel,class,transmission
79,51144.0,2005,cadillac escalade,,,345.0,,55127.5,7.0,4.0,116.0,76.5,26.0,198.9,,15.0,all wheel,gas,,DCT
80,54037.0,2005,scion xb,,9.25,108.0,66.5,,,,98.4,64.6,11.9,155.3,90.0,29.0,front wheel,gas,small station wagon,AT
81,68728.0,2005,infiniti g35,,,,,,,,,,,,185.0,20.0,rear wheel,gas,compact,MT
82,72980.0,2005,chevrolet uplander,,9.99,200.0,72.0,3936.0,7.0,4.0,121.1,72.0,25.0,204.3,,21.0,front wheel,gas,,
83,76739.0,2005,ford freestyle,,,203.0,74.4,4266.0,6.0,4.0,112.9,65.9,19.0,199.8,,23.5,front wheel,gas,,
84,68085.0,2005,chevrolet aveo,,9.46,103.0,65.7,1929.0,,,97.6,58.8,11.0,152.7,91.0,26.0,front wheel,gas,compact,AT
85,23322.0,2005,cadillac dts,,,,,,,,,,,,,,,,,
86,63186.0,2005,chevrolet avalanche,,8.095,303.3333333333333,,5551.0,6.0,4.0,130.0,73.6,33.0,,,16.0,four wheel,gas,,
87,52837.0,2005,kia sedona,4802.0,10.74,195.0,74.6,22250.0,7.0,4.0,114.6,69.3,19.8,194.1,,17.0,front wheel,gas,minivan,AT
88,52722.0,2005,bmw 5,3567.6666666666665,7.5,184.0,72.7,47500.0,5.0,4.0,113.7,57.79999999999999,18.5,190.6,99.09999999999998,21.5,rear wheel,gas,compact,MT
89,61512.0,2005,cadillac cts,3509.0,6.91,210.0,70.6,31315.0,5.0,4.0,113.4,56.7,17.0,190.1,99.0,19.0,rear wheel,gas,midsize,MT
90,64716.0,2005,mercury grand marquis,,7.37,239.0,78.2,4596.0,5.0,4.0,114.7,56.8,19.0,212.0,109.0,19.0,rear wheel,gas,large,AT
91,15789.0,2005,lexus is,,6.42,215.0,67.9,4460.0,,,105.1,55.5,17.5,176.6,89.2,19.5,rear wheel,gas,,
92,49233.0,2005,volkswagen passat,3525.454545454545,8.2,190.0,68.7,27425.0,5.0,4.0,106.4,59.0,16.400000000000002,184.3,95.0,23.0,front wheel,gas,midsize,DCT
93,57948.0,2005,acura mdx,4498.2,7.16,265.0,77.0,40860.0,7.0,4.0,106.3,68.7,19.2,188.7,161.5,18.0,four wheel,gas,special purpose,AT
94,33140.0,2005,hummer h3,,,,,,,,,,,,,,,,,
95,61048.0,2005,hyundai tucson,3395.285714285714,8.81,140.0,,20077.571428571428,5.0,4.0,103.5,68.10000000000001,16.385714285714286,,102.6,23.5,front wheel,gas,suv,DCT
96,56262.0,2005,honda element,,8.86,160.0,71.5,3258.0,4.0,4.0,101.4,70.4,15.9,,,22.5,four wheel,gas,,
97,99648.0,2005,dodge stratus,,9.61,150.0,70.6,3053.0,,,108.0,54.9,16.0,191.2,86.0,21.0,front wheel,gas,compact,AT
98,53541.0,2005,subaru forester,3190.0,6.21,210.0,,25235.90909090909,5.0,4.0,99.4,65.0,15.900000000000004,,92.45454545454548,21.5,all wheel,gas,suv,DCT
99,47610.0,2005,kia sorento,4275.0,8.99,192.0,73.3,22565.0,5.0,4.0,106.7,70.23333333333333,21.1,179.8,105.8,17.5,rear wheel,gas,suv,AT
100,50383.0,2005,mercedes benz e class,3950.1,8.2,201.0,71.3,59585.0,5.6,4.0,112.4,57.88000000000001,21.1,189.7,96.78000000000002,28.0,rear wheel,gas,midsize,AT
101,42593.0,2005,honda ridgeline,,,,,,,,,,,,,,,,,
102,60658.0,2005,mercedes benz c class,3427.083333333333,7.06,189.0,68.0,34745.833333333336,4.833333333333333,3.6666666666666665,106.90000000000002,55.58333333333334,16.400000000000002,171.0,86.03333333333335,24.5,rear wheel,flex fuel,compact,AT
103,77585.0,2005,ford freestar,,9.83,201.0,76.4,4913.0,7.0,4.0,120.8,70.6,26.0,,206.8,20.0,front wheel,gas,,
104,48922.0,2005,audi a4,3574.060606060606,7.01,200.0,69.8,31915.757575757576,4.909090909090909,3.8181818181818175,104.31818181818186,56.0727272727273,17.409090909090907,180.6,90.0,23.0,all wheel,gas,compact,MT
105,41394.0,2005,suzuki forenza reno,,,,,,,,,,,,,,,,,
106,60589.0,2005,buick rendezvous,,7.34,245.0,,,,,,,18.0,,,21.5,all wheel,,,
107,53652.0,2005,gmc yukon xl,,7.68,308.3333333333333,,41342.5,8.5,4.0,130.0,76.32500000000002,34.0,,,16.0,four wheel,gas,,DCT
108,64271.0,2005,pontiac vibe,,8.8,130.0,69.9,2569.0,,,102.4,62.2,13.0,171.9,94.0,27.0,front wheel,gas,small station wagon,AT
109,10303.0,2005,gmc torrent,,,,,,,,,,,,,,,,,
110,33637.0,2005,subaru impreza,3112.3888888888887,7.15,165.0,,22956.11111111111,5.0,4.0,99.4666666666667,57.45555555555557,15.900000000000002,,88.84444444444442,26.5,all wheel,gas,subcompact,DCT
111,52487.0,2005,dodge magnum,,7.09,250.0,74.1,4207.0,5.0,4.0,120.0,,19.0,197.7,,23.0,all wheel,gas,,
112,47122.0,2005,lincoln town car,,,,,,,,,,,,112.0,19.0,rear wheel,gas,large,AT
113,40820.0,2005,mini cooper,2601.5,7.22,168.0,66.5,18675.0,4.0,2.0,97.1,56.05,13.2,143.9,77.0,26.0,front wheel,gas,minicompact,MT
114,41349.0,2005,kia optima,3288.2,9.74,138.0,71.5,18347.0,5.0,4.0,106.3,55.5,17.2,185.8,100.0,22.0,front wheel,gas,midsize,AT
115,34856.0,2005,acura tsx,,7.99,200.0,69.4,4078.0,5.0,4.0,105.1,57.3,17.1,183.3,91.0,22.0,front wheel,gas,compact,MT
116,29009.0,2005,kia sportage,3373.0,8.24,173.0,70.9,18956.42857142857,5.0,4.0,103.5,66.7,16.385714285714286,171.3,103.9,19.0,front wheel,gas,suv,AT
117,32489.0,2005,chevrolet corvette,3189.0,3.98,400.0,72.6,47577.5,2.0,2.0,105.75,,18.0,174.6,,19.0,rear wheel,gas,two seater,MT
118,5321.0,2005,mercuryc milan,,,,,,,,,,,,,,,,,
119,36339.0,2005,volkswagen new beetle,,12.51,100.0,67.9,2976.0,,,98.7,59.0,14.5,161.1,85.0,24.0,front wheel,diesel,subcompact,MT
120,41012.0,2005,hyundai accent,2313.0,9.17,104.0,65.7,10924.0,5.0,2.6666666666666665,96.1,54.9,11.9,166.7,88.36666666666666,31.0,front wheel,gas,compact,MT
121,45904.0,2005,toyota sequoia,4990.0,7.46,282.0,,38822.5,8.0,4.0,118.1,73.75,26.4,,126.9,16.5,four wheel,gas,suv,DCT
122,33562.0,2005,chevrolet monte carlo,,8.69,180.0,72.3,3342.0,5.0,2.0,110.5,,17.0,197.9,96.0,22.0,front wheel,gas,midsize,AT
123,34099.0,2005,mercury mariner,,,,,,,,,,,,,,,,,
124,35976.0,2005,volvo xc90,4521.111111111111,9.67,208.0,74.7,37803.88888888889,5.888888888888889,4.0,112.6,70.2,21.1,,101.0,20.5,all wheel,gas,special purpose,DCT
125,4985.0,2005,lincoln zephyr,,,,,,,,,,,,,,,,,
126,24487.0,2005,mitsubishi eclipse,,7.05,210.0,68.9,3734.0,4.0,2.0,100.8,51.6,16.4,176.8,79.0,21.0,front wheel,gas,subcompact,AT
127,39508.0,2005,nissan armada,5382.6,7.59,305.0,78.8,38350.0,7.6,4.0,123.2,78.34,28.0,206.9,188.4,16.0,four wheel,gas,suv,AT
128,28033.0,2005,scion xa,,9.88,108.0,66.7,1999.0,5.0,4.0,93.3,60.2,11.9,154.1,86.0,30.0,front wheel,gas,subcompact,AT
129,40357.0,2005,nissan quest,,8.08,240.0,77.6,3555.0,,,124.0,71.9,20.0,204.1,,19.0,front wheel,gas,minivan,AT
130,34959.0,2005,mercedes benz m class,,8.37,232.0,72.4,5692.0,,,111.0,71.7,,182.6,,15.5,all wheel,gas,,
131,30769.0,2005,bmw x3,4012.0,8.07,184.0,73.0,33300.0,5.0,4.0,110.1,65.9,17.7,179.7,,18.0,all wheel,gas,suv,MT
132,16036.0,2005,mercedes benz s class,4336.666666666667,6.89,275.0,73.0,92508.33333333331,5.0,4.0,122.0,57.0,23.2,203.1,105.0,20.0,rear wheel,gas,large,AT
133,32491.0,2005,mercury mountaineer,,,,,,,,,,,,,,,,,
134,15690.0,2005,volkswagen golf rabbit,,,,,,,,,,,,,,,,,
135,15690.0,2005,volkswagen golf,2944.6153846153848,11.52,100.0,68.3,18596.92307692308,5.0,3.230769230769231,98.9,56.70000000000001,14.5,164.9,88.0,35.0,front wheel,gas,compact,MT
136,30290.0,2005,kia rio,2452.5,9.53,104.0,66.1,11428.75,5.0,4.0,94.9,56.7,11.9,166.9,176.0,24.0,front wheel,gas,subcompact,MT
137,33976.0,2005,mitsubishi galant,,7.58,230.0,72.4,3374.0,5.0,4.0,108.3,57.9,17.7,190.4,101.0,23.0,front wheel,gas,midsize,AT
138,33457.0,2005,lexus gs,,7.38,220.0,70.9,5831.0,,,110.2,55.9,19.8,189.2,100.0,19.5,rear wheel,gas,,
139,8624.0,2005,suzuki grand vitara,,7.56,165.0,,2759.0,5.0,4.0,97.6,67.3,16.9,,,18.0,rear wheel,gas,suv,AT
140,17645.0,2005,hyundai xg350 azera,,,,,,,,,,,,,,,,,
141,37598.0,2005,bmw x5,4864.666666666667,7.77,225.0,73.7,54866.66666666666,5.0,4.0,111.0,67.5,24.600000000000005,183.7,,16.0,all wheel,gas,suv,DCT
142,36761.0,2005,mazda tribute,,9.64,153.0,72.0,3055.0,5.0,4.0,103.1,67.7,16.5,174.4,,23.5,front wheel,gas,,
143,24695.0,2005,volvo s60,3494.25,5.26,300.0,71.4,32403.125,5.0,4.0,106.90000000000003,56.22500000000002,18.125,180.2,94.0,21.0,front wheel,gas,compact,AT
144,33497.0,2005,cadillac sts,,6.0,320.0,72.6,7053.0,5.0,4.0,116.4,57.6,17.0,196.3,,21.5,rear wheel,gas,,
145,24000.0,2005,infiniti m45,,,,,,,,,,,,,,,,,
146,34339.0,2005,lexus gx470,,,,,,,,,,,,,,,,,
147,27278.0,2005,nissan 350z,,4.97,300.0,71.5,5430.0,2.0,2.0,104.3,51.9,20.0,169.4,,20.0,rear wheel,gas,two seater,MT
148,24241.0,2005,volvo s40,,8.48,168.0,69.7,3534.0,5.0,4.0,103.9,57.2,15.9,175.9,,26.0,front wheel,gas,,
149,24108.0,2005,saab 9 3,,6.94,210.0,69.0,4927.0,5.0,4.0,105.3,56.8,16.4,182.5,,27.0,front wheel,gas,,
150,34845.0,2005,gmc canyon,,,175.0,67.6,21486.73076923077,3.923076923076923,2.6153846153846154,121.47692307692306,66.42307692307689,19.0,192.8,,19.5,rear wheel,gas,,MT
151,25844.0,2005,lincoln navigator,5760.0,,,,53650.0,7.0,4.0,118.8,77.8,28.0,,157.2,,rear wheel,gas,suv,AT
152,27849.0,2005,mitsubishi lancer,,9.35,120.0,66.8,2489.0,5.0,4.0,102.4,54.9,13.2,180.5,94.0,24.0,front wheel,gas,compact,AT
153,26786.0,2005,infiniti fx,,,,,,,,,,,,,,,,,
154,27007.0,2005,mercury montego,,,203.0,74.5,3924.0,5.0,4.0,112.9,,19.0,200.4,,22.5,all wheel,gas,,
155,22999.0,2005,cadillac srx,,,320.0,72.6,7520.0,5.0,4.0,116.4,67.8,20.0,,,18.0,rear wheel,gas,,
156,5445.0,2005,pontiac solstice,,,,,,,,,,,,,,,,,
157,26043.0,2005,lexus ls,3990.0,6.42,290.0,72.0,56225.0,5.0,4.0,115.2,58.7,22.2,197.4,107.2,21.5,rear wheel,gas,midsize,DCT
158,10441.0,2005,land rover range rover sport,,,,,,,,,,,,,,,,,
159,14797.0,2005,subaru b9 tribeca,,,,,,,,,,,,,,,,,
160,4959.0,2005,mercedes benz r class,,,,,,,,,,,,,,,,,
161,18165.0,2005,bmw 7,4618.5,6.31,325.0,74.9,92750.0,5.0,4.0,120.45,58.7,23.3,198.0,107.5,20.0,rear wheel,gas,large,DCT
162,20600.0,2005,hyundai tiburon,,7.75,172.0,69.3,2699.0,,,99.6,52.4,14.5,173.0,81.0,22.0,front wheel,gas,subcompact,AT
163,113332.0,2005,dodge neon,,8.52,132.0,67.4,2416.0,5.0,4.0,105.0,,12.5,174.4,,32.5,front wheel,gas,,
164,4761.0,2005,mazda 5,,,,,,,,,,,,,,,,,
165,23213.0,2005,hummer h2,,,325.0,,7864.0,5.0,4.0,122.8,79.2,32.0,,,,four wheel,gas,,
166,20809.0,2005,acura rsx,,8.33,160.0,67.9,3202.0,,,101.2,54.9,13.2,172.4,81.0,26.0,front wheel,gas,subcompact,MT
167,19346.0,2005,land rover lr3,,7.02,300.0,,6649.0,5.0,4.0,113.6,74.1,22.8,,,14.0,four wheel,gas,suv,AT
