,Total_Sales,cleaned_name,curb_weight_lbs,speed_sec,msrp,pass_capacity,doors,wheelbase_in,tank_cap_gal,vol_cubft,mpg_comb,Year,height_in,length_in,width_in,drivetrain,transmission,class,horsepower_hp,hybrid,fuel_type
209,33637.0,subaru impreza,3112.3888888888887,7.15,22956.11111111111,5.0,4.0,99.4666666666667,15.900000000000002,88.84444444444442,26.5,2005,57.45555555555557,,,all wheel,DCT,subcompact,165.0,,gas
210,52487.0,dodge magnum,,7.09,4207.0,5.0,4.0,120.0,19.0,,23.0,2005,,197.7,74.1,all wheel,,,250.0,,gas
211,47122.0,lincoln town car,,,,,,,,112.0,19.0,2005,218.0,95.0,201.0,rear wheel,AT,large,239.0,True,Hybrid
213,40820.0,mini cooper,2601.5,7.22,18675.0,4.0,2.0,97.1,13.2,77.0,26.0,2005,56.05,143.9,66.5,front wheel,MT,minicompact,168.0,,gas
214,41349.0,kia optima,3288.2,9.74,18347.0,5.0,4.0,106.3,17.2,100.0,22.0,2005,55.5,185.8,71.5,front wheel,AT,midsize,138.0,True,Hybrid
217,34856.0,acura tsx,,7.99,4078.0,5.0,4.0,105.1,17.1,91.0,22.0,2005,57.3,183.3,69.4,front wheel,MT,compact,200.0,True,Hybrid
220,29009.0,kia sportage,3373.0,8.24,18956.42857142857,5.0,4.0,103.5,16.385714285714286,103.9,19.0,2005,66.7,171.3,70.9,front wheel,AT,suv,173.0,True,Hybrid
223,32489.0,chevrolet corvette,3189.0,3.98,47577.5,2.0,2.0,105.75,18.0,,19.0,2005,,174.6,72.6,rear wheel,MT,two seater,400.0,,gas
224,5321.0,mercuryc milan,,,,,,,,,,2005,,,,,,,,,
225,36339.0,volkswagen new beetle,,12.51,2976.0,,,98.7,14.5,85.0,24.0,2005,59.0,161.1,67.9,front wheel,MT,subcompact,100.0,,diesel
226,41012.0,hyundai accent,2313.0,9.17,10924.0,5.0,2.6666666666666665,96.1,11.9,88.36666666666666,31.0,2005,54.9,166.7,65.7,front wheel,MT,compact,104.0,,gas
