,Unnamed: 0,Total_Sales,Year,cleaned_name,curb_weight_lbs,body_style,engine_type,speed_sec,horsepower_hp,length_in,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,vol_cubft,mpg_comb,drivetrain,fuel_typ,trans,class_EPA,engine,fuel
1987,3034,1662.0,2011,toyota land cruiser,5765.0,Sport Utility,Gas V8,6.6,381.0,194.9,77.6,69120.0,8.0,4.0,112.2,74.0,24.6,,15.0,four wheel,"Gas V8, 5.7L","6-speed automatic transmission -inc: electronically controlled intelligence (ECT), sequential shift mode",Sport Utility Vehicle,EFI,regular
1988,3035,1564.0,2011,acura zdx,,,,6.46,300.0,192.4,78.5,13193.0,,,108.3,62.8,21.0,,19.5,all wheel,Gas,,,,regular
1989,3036,1524.0,2011,hyundai azera,,,,6.96,283.0,193.3,72.8,10232.0,5.0,4.0,109.4,58.7,19.8,107.0,22.0,front wheel,Regular,Automatic 6-spd,Large Cars,,regular
1990,3038,1496.0,2011,saab 9 5,,,,6.89,220.0,197.2,73.3,14767.0,5.0,4.0,111.7,57.8,18.5,114.4,26.5,front wheel,Gas,,,,regular
1991,3039,1449.0,2011,mercedes benz sl class,4349.66666666667,Convertible,Gas V8,5.44,382.0,180.4,71.5,146800.0,2.0,2.0,100.8,51.1,21.1,50.5,14.6666666666667,rear wheel,"Gas V8, 6.3L","7-speed AMG SPEEDSHIFT automatic transmission w/TouchShift manual shift control -inc: selectable modes, AMG unit w/preferred setting storage",two Seater,SMPI,regular
1992,3040,1377.0,2011,porsche cayman,,,,4.45,320.0,172.3,70.9,10374.0,2.0,2.0,95.1,51.4,16.9,0.0,22.0,rear wheel,Premium,Manual 6-spd,Two Seaters,,premium
1993,3042,1328.0,2011,chrysler pt cruiser,,,,9.7,150.0,168.9,67.1,5299.0,5.0,4.0,103.0,63.0,15.0,121.5,21.0,front wheel,Gas,,,,regular
1994,3043,1294.0,2011,nissan gt r,3829.0,twodr Car,Gas V6,3.56,485.0,183.1,74.9,84060.0,4.0,2.0,109.4,54.0,19.5,79.0,17.0,all wheel,Premium,"Sequential 6-speed manual dual-clutch paddle-shift, r configurable transmission w/automatic mode",Subcompact,Electronic Fuel Injection,premium
1995,3044,1191.0,2011,mercedes benz g class,5671.5,Sport Utility,Gas V8,6.46,382.0,184.5,71.8,115100.0,5.0,4.0,112.2,76.0,25.4,124.0,12.5,four wheel,"Gas V8, 5.5L",7-speed automatic transmission w/r-adaptive shifting,four WD Sport Utility Vehicle,Electronic Fuel Injection,regular
1996,3045,1145.0,2011,audi r8,,,,3.29,525.0,174.6,76.0,58412.0,2.0,2.0,104.3,49.3,23.8,0.0,15.0,all wheel,Premium,Automatic (AM6),Two Seaters,SIDI,premium
